,0,1,2,3,4,5,6,7,8,9,10
0,phenol,10,1.0,10.0,0,0.137164750957854,0.173180076628352,0.209195402298851,0.270498084291188,0.344061302681992,0.436781609195402
1,chlorophenol,10,1.0,10.0,0,0.216705607476636,0.306658878504673,0.412967289719626,0.554906542056075,0.711448598130841,0.838785046728972
2,nitrophenol,10,1.0,10.0,0,0.218855218855219,0.279370279370279,0.320866320866321,0.362180362180362,0.402402402402402,0.452543452543453
3,p-hydroxybenzoic acid,10,1.0,10.0,0,0.243221035332786,0.311695425910709,0.383730484798685,0.456587236373596,0.572445905231443,0.710216379074226
4,quinol,10,1.0,10.0,0,0.066820276497696,0.17684331797235,0.317972350230415,0.487327188940092,0.625,0.719470046082949
5,p-Hydroxybenzaldehyde,10,1.0,10.0,0,0.203198836786623,0.268266085059978,0.327621124785792,0.410084644544841,0.517318377732773,0.639715428155995
6,p-Hydroxyacetophenone,10,1.0,10.0,0,0.208105618667485,0.272950568007369,0.332514583972981,0.420816702486951,0.518759594719067,0.622474669941664
7,p-hydroxyanisole,10,1.0,10.0,0,0.150966183574879,0.206924315619968,0.260869565217391,0.324476650563607,0.393317230273752,0.475845410628019
8,Methyl 4-hydroxybenzoate,10,1.0,10.0,0,0.451276102088167,0.553364269141531,0.616009280742459,0.67169373549884,0.723897911832947,0.765661252900232
9,p-Hydroxybenzyl Alcohol,10,1.0,10.0,0,0.175816539263377,0.268936761640028,0.348158443363447,0.441973592772759,0.559416261292564,0.669909659485754
10,4-acetamidophenol,10,1.0,10.0,0,0.155909471919531,0.184828164291702,0.206621961441743,0.226739312657167,0.251886001676446,0.276194467728416
11,p-methylphenol,10,1.0,10.0,0,0.13882863340564,0.164859002169197,0.192624728850325,0.203904555314534,0.215618221258134,0.22472885032538
12,phenol,10,7.5,10.0,0,0.353090601,0.540906012,0.82811177,0.84319221,0.859441152,0.864521592
13,chlorophenol,10,7.5,10.0,0,0.694819021,0.910574876,1.0,1.0,1.0,1.0
14,nitrophenol,10,7.5,10.0,0,0.736073059,0.895319635,0.956392694,0.982990868,0.991666667,0.994863014
15,p-hydroxybenzoic acid,10,7.5,10.0,0,0.604371239,0.791891036,0.922394678,0.931897371,0.936965474,0.938232499
16,quinol,10,7.5,10.0,0,0.353897657,0.554758489,0.638450502,0.693926351,0.708273553,0.709708274
17,p-Hydroxybenzaldehyde,10,7.5,10.0,0,0.665347075,0.853730121,0.945669238,0.983618866,0.993720565,1.0
18,p-Hydroxyacetophenone,10,7.5,10.0,0,0.672035588,0.900444854,0.978370916,0.991486424,1.0,1.0
19,p-hydroxyanisole,10,7.5,10.0,0,0.549676661,0.736625514,0.858318636,0.92122281,0.951793063,0.96590241
20,Methyl 4-hydroxybenzoate,10,7.5,10.0,0,1.0,1.0,1.0,1.0,1.0,1.0
21,p-Hydroxybenzyl Alcohol,10,7.5,10.0,0,0.606583573,0.682326622,0.720038351,0.732502397,0.744327261,0.753914989
22,4-acetamidophenol,10,7.5,10.0,0,0.508421053,0.671578947,0.767894737,0.842105263,0.888421053,0.917368421
23,p-methylphenol,10,7.5,10.0,0,0.415831135,0.559366755,0.646965699,0.745646438,0.77414248,0.814248021
24,phenol,10,5.0,5.0,0,0.212832551,0.346635368,0.452269171,0.546165884,0.593114241,0.612676056
25,chlorophenol,10,5.0,5.0,0,0.403540904,0.638583639,0.791819292,0.884615385,0.919413919,0.931623932
26,nitrophenol,10,5.0,5.0,0,0.439019897,0.616709654,0.722826087,0.813006632,0.860998526,0.893146647
27,p-hydroxybenzoic acid,10,5.0,5.0,0,0.436991299,0.626438395,0.772382823,0.839741791,0.897558237,0.928150435
28,quinol,10,5.0,5.0,0,0.176949942,0.377764843,0.519208382,0.594295693,0.615832363,0.622235157
29,p-Hydroxybenzaldehyde,10,5.0,5.0,0,0.413623922,0.582192842,0.711563291,0.824045861,0.892681919,0.92501162
30,p-Hydroxyacetophenone,10,5.0,5.0,0,0.413175133,0.610740329,0.757013966,0.862995921,0.919354839,0.942837721
31,p-hydroxyanisole,10,5.0,5.0,0,0.264006449,0.403869407,0.511487304,0.607819428,0.675937122,0.716646514
32,Methyl 4-hydroxybenzoate,10,5.0,5.0,0,0.841860465,1.0,1.0,1.0,1.0,1.0
33,p-Hydroxybenzyl Alcohol,10,5.0,5.0,0,0.327523602,0.513435004,0.624546115,0.701525054,0.729847495,0.745824256
34,4-acetamidophenol,10,5.0,5.0,0,0.242501056,0.376425856,0.468103084,0.550063371,0.610477398,0.646387833
35,p-methylphenol,10,5.0,5.0,0,0.221976074,0.339388569,0.410279132,0.473194506,0.51838724,0.549401861
36,phenol,10,10.0,5.0,0,0.383107089,0.546003017,0.609351433,0.63800905,0.641779789,0.643288084
37,chlorophenol,10,10.0,5.0,0,0.654862282,0.857785273,0.922428331,0.93985385,0.944350759,0.944912872
